DEPARTAMENTO,MUNICIPIO,FECHA,EVENTO,FALLECIDOS,HERIDOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,HECTAREAS,RECURSOS_EJECUTADOS,VALOR_KIT_DE_ALIMENTO,VALOR_MATERIALES_DE_CONSTRUCCION,VALORES_MATERIALES_DE_CONSTRUCCION
ANTIOQUIA,FUSAGASUGA,01/09/19,ACCIDENTE TRANSPORTE TERRESTRE,1,20,0,0,0,0,0,0,0
ANTIOQUIA,BUENAVENTURA,01/08/19,INUNDACION,1,0,0,0,0,0,0,0,0
ANTIOQUIA,BUENAVENTURA,01/09/19,ACCIDENTE TRANSPORTE TERRESTRE,0,12,0,0,0,0,0,0,0
ANTIOQUIA,ANGOSTURA,01/09/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,LA CEJA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,SEGOVIA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,14,0,0,0,0
ANTIOQUIA,TAME,01/10/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30,0,0,0,0
ANTIOQUIA,SABANALARGA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10,0,0,0,0
ANTIOQUIA,SABANALARGA,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,SABANALARGA,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7,0,0,0,0
ANTIOQUIA,CHIVATA,01/07/19,OTROS,2,0,0,0,0,0,0,0,0
ANTIOQUIA,SOGAMOSO,01/09/19,ACCIDENTE MINERO,1,0,0,0,0,0,0,0,0
ANTIOQUIA,JERICO,01/09/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,SOLEDAD,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
ANTIOQUIA,TURBACO,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,EL CARMEN DE BOLIVAR,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6,0,0,0,0
ANTIOQUIA,MAHATES,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,TUNJA,01/10/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,MANIZALES,01/10/19,ACCIDENTE TRANSPORTE TERRESTRE,0,3,0,0,0,0,0,0,0
ANTIOQUIA,SOACHA,01/08/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10,0,0,0,0
ANTIOQUIA,LEBRIJA,01/10/19,ACCIDENTE TRANSPORTE TERRESTRE,0,6,0,0,0,0,0,0,0
ANTIOQUIA,GUICAN,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,SAN PABLO DE BORBUR,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,ANSERMA,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,AGUAZUL,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
ANTIOQUIA,OROCUE,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5,0,0,0,0
ANTIOQUIA,AGUACHICA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,18,0,0,0,0
ANTIOQUIA,SUESCA,01/11/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,AGUACHICA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5,0,0,0,0
ANTIOQUIA,BOSCONIA,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5,0,0,0,0
ANTIOQUIA,EL COPEY,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
ANTIOQUIA,SAN JOSE DEL GUAVIARE,01/11/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20,0,0,0,0
ANTIOQUIA,SAN JOSE DEL GUAVIARE,01/11/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,BARBACOAS,01/11/19,VENDAVAL,0,0,31,0,0,0,0,0,0
